product_id,title,tags,category,popularity_score
111,Product 111,"denim,sports",accessories,100
112,Product 112,"winter,crop",dresses,100
235,Product 235,"tank,leather,formal,boho",bottoms,100
310,Product 310,"crop,warm",jackets,100
331,Product 331,"crop,sports,warm",skirts,100
387,Product 387,"maxi,shoes,warm",jackets,100
418,Product 418,"winter,denim",jackets,100
497,Product 497,"classic,pastel,formal",jackets,100
561,Product 561,"tank,formal,shoes",tops,100
645,Product 645,"maxi,warm,winter",skirts,100
687,Product 687,"sports,classic",accessories,100
760,Product 760,"shoes,maxi,sports,warm",accessories,100
860,Product 860,"summer,winter",jackets,100
965,Product 965,"sports,wool,boho,bag",bottoms,100
1042,Product 1042,"sports,winter,maxi",jackets,100
1061,Product 1061,"sports,jeans,leather",jackets,100
1081,Product 1081,"pastel,winter",bottoms,100
6,Product 6,"crop,leather,formal",dresses,99
31,Product 31,"bag,sports",footwear,99
74,Product 74,"jeans,summer",tops,99
166,Product 166,"floral,denim,pastel",bottoms,99
181,Product 181,"maxi,denim",skirts,99
190,Product 190,"formal,comfort,crop",dresses,99
195,Product 195,"boho,denim,tank,leather",accessories,99
316,Product 316,"sports,floral,casual,denim",jackets,99
333,Product 333,"classic,summer,winter",jackets,99
362,Product 362,"shoes,wool,classic,maxi",jackets,99
384,Product 384,"pastel,leather",skirts,99
386,Product 386,"crop,maxi,pastel,formal",accessories,99
398,Product 398,"boho,pastel,winter,casual",bottoms,99
433,Product 433,"bag,warm,maxi,wool",bottoms,99
539,Product 539,"leather,denim",jackets,99
614,Product 614,"leather,wool,floral,tank",tops,99
621,Product 621,"winter,floral",skirts,99
688,Product 688,"maxi,boho",jackets,99
728,Product 728,"bag,pastel",skirts,99
730,Product 730,"jeans,boho,summer,denim",jackets,99
766,Product 766,"comfort,summer,classic,boho",tops,99
892,Product 892,"pastel,denim,formal,leather",dresses,99
894,Product 894,"crop,jeans,leather",skirts,99
903,Product 903,"tank,jeans,leather",tops,99
915,Product 915,"wool,denim,sports",accessories,99
933,Product 933,"tank,comfort,floral",footwear,99
960,Product 960,"comfort,winter,pastel,bag",footwear,99
982,Product 982,"leather,floral,summer,classic",accessories,99
993,Product 993,"tank,classic,wool,casual",accessories,99
997,Product 997,"leather,warm",skirts,99
1007,Product 1007,"casual,bag,maxi",tops,99
1011,Product 1011,"winter,sports",jackets,99
1038,Product 1038,"leather,boho",tops,99
1066,Product 1066,"winter,formal",dresses,99
1071,Product 1071,"pastel,formal,shoes,summer",bottoms,99
41,Product 41,"formal,wool,classic",footwear,98
83,Product 83,"floral,formal,tank,jeans",dresses,98
187,Product 187,"boho,bag,formal",skirts,98
213,Product 213,"formal,sports,classic",jackets,98
269,Product 269,"floral,bag",accessories,98
274,Product 274,"summer,classic,pastel,winter",jackets,98
319,Product 319,"floral,comfort,pastel,classic",jackets,98
348,Product 348,"crop,bag",dresses,98
441,Product 441,"boho,shoes",skirts,98
473,Product 473,"formal,leather,wool",accessories,98
577,Product 577,"pastel,boho,shoes,jeans",jackets,98
597,Product 597,"bag,denim,formal,casual",tops,98
671,Product 671,"winter,sports,boho,floral",footwear,98
695,Product 695,"winter,floral",tops,98
707,Product 707,"warm,classic,pastel",footwear,98
801,Product 801,"formal,classic",skirts,98
922,Product 922,"leather,formal",dresses,98
1068,Product 1068,"formal,leather,classic",skirts,98
13,Product 13,"wool,classic,summer,shoes",jackets,97
20,Product 20,"floral,bag,tank",jackets,97
28,Product 28,"formal,pastel,winter,floral",skirts,97
63,Product 63,"comfort,formal,maxi,summer",accessories,97
113,Product 113,"maxi,shoes,comfort,bag",accessories,97
238,Product 238,"leather,floral,casual",bottoms,97
253,Product 253,"bag,classic",footwear,97
259,Product 259,"formal,boho,crop",dresses,97
290,Product 290,"formal,crop,winter",skirts,97
360,Product 360,"tank,warm,formal",jackets,97
420,Product 420,"wool,denim",dresses,97
436,Product 436,"bag,pastel,tank",jackets,97
491,Product 491,"bag,leather",bottoms,97
503,Product 503,"wool,crop,comfort,jeans",tops,97
608,Product 608,"summer,classic,warm,tank",footwear,97
774,Product 774,"leather,jeans,classic,warm",accessories,97
816,Product 816,"wool,winter",jackets,97
847,Product 847,"casual,wool,tank",jackets,97
870,Product 870,"maxi,wool,crop",accessories,97
906,Product 906,"crop,summer",accessories,97
1065,Product 1065,"sports,leather",tops,97
150,Product 150,"maxi,warm,shoes",accessories,96
216,Product 216,"crop,formal",footwear,96
242,Product 242,"boho,bag,formal",dresses,96
298,Product 298,"comfort,formal",accessories,96
303,Product 303,"sports,casual,comfort,boho",bottoms,96
385,Product 385,"denim,leather,summer,floral",bottoms,96
404,Product 404,"pastel,wool,jeans,crop",tops,96
409,Product 409,"comfort,sports",jackets,96
452,Product 452,"casual,wool",bottoms,96
461,Product 461,"casual,summer,winter,crop",bottoms,96
494,Product 494,"winter,formal,pastel",dresses,96
511,Product 511,"winter,casual",skirts,96
522,Product 522,"maxi,crop",bottoms,96
530,Product 530,"wool,comfort,tank,casual",bottoms,96
544,Product 544,"sports,pastel",jackets,96
587,Product 587,"shoes,denim,warm",bottoms,96
644,Product 644,"bag,crop",footwear,96
756,Product 756,"winter,tank",jackets,96
770,Product 770,"classic,winter,wool,comfort",bottoms,96
780,Product 780,"warm,pastel,leather",dresses,96
879,Product 879,"formal,bag,classic",tops,96
881,Product 881,"maxi,warm,comfort",accessories,96
885,Product 885,"bag,tank",dresses,96
905,Product 905,"bag,comfort,pastel,crop",dresses,96
911,Product 911,"summer,maxi,casual,shoes",dresses,96
943,Product 943,"crop,jeans,casual,leather",footwear,96
1004,Product 1004,"wool,bag",footwear,96
1045,Product 1045,"classic,wool",dresses,96
1089,Product 1089,"boho,bag,summer,tank",bottoms,96
10,Product 10,"sports,casual,formal",tops,95
16,Product 16,"classic,crop,casual",bottoms,95
21,Product 21,"summer,boho",skirts,95
30,Product 30,"summer,jeans,pastel",bottoms,95
62,Product 62,"warm,denim,floral",footwear,95
75,Product 75,"comfort,pastel",dresses,95
110,Product 110,"bag,formal,warm",tops,95
122,Product 122,"classic,shoes",bottoms,95
243,Product 243,"wool,crop,pastel",skirts,95
262,Product 262,"wool,casual,leather,formal",jackets,95
267,Product 267,"sports,formal",accessories,95
342,Product 342,"comfort,pastel",bottoms,95
482,Product 482,"tank,bag,maxi,warm",jackets,95
518,Product 518,"classic,bag,comfort,floral",tops,95
521,Product 521,"pastel,denim",tops,95
533,Product 533,"boho,pastel,wool",dresses,95
603,Product 603,"casual,leather,crop",bottoms,95
768,Product 768,"wool,winter,pastel",jackets,95
863,Product 863,"sports,pastel",footwear,95
920,Product 920,"shoes,warm,pastel,bag",tops,95
1023,Product 1023,"boho,bag",bottoms,95
1029,Product 1029,"crop,formal,denim,floral",footwear,95
87,Product 87,"floral,summer,boho",bottoms,94
135,Product 135,"sports,winter,classic,jeans",skirts,94
261,Product 261,"comfort,casual",accessories,94
315,Product 315,"formal,wool",skirts,94
366,Product 366,"tank,bag,shoes",dresses,94
463,Product 463,"tank,warm",skirts,94
480,Product 480,"maxi,jeans",tops,94
536,Product 536,"jeans,classic,casual",skirts,94
647,Product 647,"pastel,denim,casual",jackets,94
661,Product 661,"jeans,winter,boho,comfort",jackets,94
690,Product 690,"boho,classic,warm,wool",dresses,94
812,Product 812,"warm,maxi,classic",footwear,94
927,Product 927,"winter,jeans",bottoms,94
1074,Product 1074,"warm,pastel",jackets,94
1095,Product 1095,"wool,comfort,bag,pastel",jackets,94
100,Product 100,"formal,pastel,floral,boho",tops,93
169,Product 169,"denim,shoes",footwear,93
233,Product 233,"boho,sports,denim,classic",skirts,93
250,Product 250,"crop,casual,boho,classic",jackets,93
352,Product 352,"pastel,wool,jeans",footwear,93
447,Product 447,"tank,casual,denim,pastel",footwear,93
471,Product 471,"floral,boho",jackets,93
493,Product 493,"leather,bag",bottoms,93
557,Product 557,"floral,tank",footwear,93
611,Product 611,"tank,classic",jackets,93
637,Product 637,"wool,floral,casual,denim",tops,93
713,Product 713,"maxi,warm,boho,summer",tops,93
732,Product 732,"denim,comfort,boho,sports",tops,93
800,Product 800,"summer,casual",jackets,93
826,Product 826,"boho,winter,denim",accessories,93
837,Product 837,"casual,boho,tank",jackets,93
904,Product 904,"sports,pastel,wool,tank",accessories,93
957,Product 957,"denim,casual",dresses,93
1027,Product 1027,"bag,floral,casual,summer",skirts,93
1048,Product 1048,"wool,sports,shoes",footwear,93
29,Product 29,"pastel,warm",tops,92
101,Product 101,"floral,pastel,classic,summer",bottoms,92
144,Product 144,"floral,jeans,summer",dresses,92
178,Product 178,"crop,denim",bottoms,92
208,Product 208,"pastel,winter",bottoms,92
279,Product 279,"summer,boho,shoes",skirts,92
282,Product 282,"boho,wool",jackets,92
328,Product 328,"wool,comfort,shoes,jeans",accessories,92
462,Product 462,"winter,crop,pastel",tops,92
477,Product 477,"leather,jeans,denim,wool",skirts,92
571,Product 571,"jeans,classic,winter",footwear,92
696,Product 696,"maxi,bag",tops,92
714,Product 714,"casual,jeans,warm,leather",dresses,92
718,Product 718,"pastel,floral",jackets,92
719,Product 719,"shoes,crop,classic",jackets,92
725,Product 725,"casual,crop,shoes",footwear,92
775,Product 775,"leather,formal",bottoms,92
834,Product 834,"denim,crop,leather,casual",footwear,92
876,Product 876,"warm,jeans",jackets,92
925,Product 925,"casual,formal",bottoms,92
952,Product 952,"leather,summer,tank,maxi",bottoms,92
1015,Product 1015,"leather,denim",footwear,92
1017,Product 1017,"casual,winter",jackets,92
18,Product 18,"warm,winter,maxi,denim",jackets,91
32,Product 32,"tank,formal,casual",accessories,91
42,Product 42,"tank,maxi",footwear,91
168,Product 168,"bag,tank,comfort",footwear,91
219,Product 219,"classic,comfort",jackets,91
